timestamp,event_id,location,cameras_analyzed,raw_detections_total,per_camera_counts,unified_count,capacity,occupancy_percentage,average_confidence,risk,condition
2026-09-12T13:31:58Z,2ba8eb54,Demo venue,"C1,C2",49,"{""C1"": 32, ""C2"": 17}",37,50,74.0,0.469,0.74,SAFE
2026-09-12T13:32:23Z,be1a9bfe,Demo venue,"C1,C2,C3,C4,C5,C6",95,"{""C1"": 32, ""C2"": 17, ""C3"": 13, ""C4"": 4, ""C5"": 7, ""C6"": 22}",44,50,88.0,0.46,0.88,SAFE
2026-09-12T13:32:49Z,3a682def,Demo venue,C1,32,"{""C1"": 32}",32,50,64.0,0.47,0.64,SAFE
2026-09-12T13:34:53Z,20f9a626,Piazza San Marco,"C1,C2,C3,C4,C5,C6",95,"{""C1"": 32, ""C2"": 17, ""C3"": 13, ""C4"": 4, ""C5"": 7, ""C6"": 22}",44,50,88.0,0.46,0.88,SAFE
2026-09-12T13:34:54Z,7b3693ad,Piazza San Marco,"C1,C2,C3,C4,C5,C6",95,"{""C1"": 32, ""C2"": 17, ""C3"": 13, ""C4"": 4, ""C5"": 7, ""C6"": 22}",44,30,146.7,0.46,1.467,CAPACITY EXCEEDED
2026-09-12T13:36:05Z,64684dc2,Demo venue,"C1,C2,C3,C4,C5,C6,C7",101,"{""C1"": 32, ""C2"": 17, ""C3"": 13, ""C4"": 4, ""C5"": 7, ""C6"": 22, ""C7"": 6}",46,10,460.0,0.454,4.6,CAPACITY EXCEEDED
2026-09-12T13:47:05Z,61885365,Demo venue,"C1,C2,C3,C4,C5,C6,C7",101,"{""C1"": 32, ""C2"": 17, ""C3"": 13, ""C4"": 4, ""C5"": 7, ""C6"": 22, ""C7"": 6}",46,10,460.0,0.454,4.6,CAPACITY EXCEEDED
2026-09-12T13:47:19Z,7ff248b7,Demo venue,"C1,C2,C3,C4,C5,C6,C7",101,"{""C1"": 32, ""C2"": 17, ""C3"": 13, ""C4"": 4, ""C5"": 7, ""C6"": 22, ""C7"": 6}",46,50,92.0,0.454,0.92,SAFE
2026-09-12T13:47:52Z,822effdd,Demo venue,"C1,C2,C3,C4,C5,C6,C7",101,"{""C1"": 32, ""C2"": 17, ""C3"": 13, ""C4"": 4, ""C5"": 7, ""C6"": 22, ""C7"": 6}",46,10,460.0,0.454,4.6,CAPACITY EXCEEDED
2026-09-12T13:48:08Z,1ac43787,Demo venue,"C1,C2,C3,C4,C5,C6,C7",101,"{""C1"": 32, ""C2"": 17, ""C3"": 13, ""C4"": 4, ""C5"": 7, ""C6"": 22, ""C7"": 6}",46,40,115.0,0.454,1.15,CAPACITY EXCEEDED
2026-09-12T13:48:27Z,b0197ae1,Demo venue,"C1,C2,C3,C4,C5,C6,C7",101,"{""C1"": 32, ""C2"": 17, ""C3"": 13, ""C4"": 4, ""C5"": 7, ""C6"": 22, ""C7"": 6}",46,50,92.0,0.454,0.92,SAFE
2026-09-12T13:48:44Z,460946a5,Demo venue,C3,13,"{""C3"": 13}",13,50,26.0,0.604,0.26,SAFE
2026-09-12T16:38:26Z,e9e79de9,Demo venue,"C6,C7",28,"{""C6"": 22, ""C7"": 6}",24,50,48.0,0.454,0.48,SAFE
2026-09-12T16:40:24Z,29011a33,Demo venue,"C1,C2,C3,C4,C5,C6,C7",101,"{""C1"": 32, ""C2"": 17, ""C3"": 13, ""C4"": 4, ""C5"": 7, ""C6"": 22, ""C7"": 6}",46,50,92.0,0.454,0.92,SAFE
2026-09-12T16:42:57Z,a0027c9b,Bangalore,"C1,C2,C3,C6,C7",90,"{""C1"": 32, ""C2"": 17, ""C3"": 13, ""C6"": 22, ""C7"": 6}",45,20,225.0,0.452,2.25,CAPACITY EXCEEDED
2026-09-12T16:43:26Z,934a318a,Bangalore,"C1,C2,C3,C6,C7",90,"{""C1"": 32, ""C2"": 17, ""C3"": 13, ""C6"": 22, ""C7"": 6}",45,50,90.0,0.452,0.9,SAFE
2026-09-13T15:03:41Z,4ee690c0,Demo venue,"C1,C2,C3",29,"{""C1"": 15, ""C2"": 2, ""C3"": 12}",29,50,58.0,0.41,0.58,SAFE
2026-09-13T15:04:51Z,2c9fdf37,Demo venue,C1,15,"{""C1"": 15}",15,50,30.0,0.389,0.3,SAFE
2026-09-13T15:05:06Z,00ba81f9,Demo venue,C1,12,"{""C1"": 12}",12,50,24.0,0.436,0.24,SAFE
2026-09-13T15:05:21Z,ba80348b,Demo venue,C1,2,"{""C1"": 2}",2,50,4.0,0.411,0.04,SAFE
2026-09-13T15:06:07Z,93ee0d62,Demo venue,C1,4,"{""C1"": 4}",4,50,8.0,0.428,0.08,SAFE
2026-09-13T15:07:54Z,fffe628e,Demo venue,"C1,C2",27,"{""C1"": 15, ""C2"": 12}",27,50,54.0,0.41,0.54,SAFE
2026-09-13T15:08:10Z,eb00a232,Demo venue,C1,15,"{""C1"": 15}",15,50,30.0,0.389,0.3,SAFE
2026-09-13T15:08:49Z,0d395302,Demo venue,C1,12,"{""C1"": 12}",12,50,24.0,0.436,0.24,SAFE
2026-09-13T15:09:58Z,2ed84971,Demo venue,"C1,C2",27,"{""C1"": 15, ""C2"": 12}",27,50,54.0,0.41,0.54,SAFE
2026-09-13T15:10:15Z,1de5d3b6,Demo venue,C1,15,"{""C1"": 15}",15,50,30.0,0.389,0.3,SAFE
2026-09-13T15:10:24Z,73081e39,Demo venue,C1,12,"{""C1"": 12}",12,50,24.0,0.436,0.24,SAFE
2026-09-13T15:10:39Z,365d184f,Demo venue,"C1,C2,C3,C6,C7",90,"{""C1"": 32, ""C2"": 17, ""C3"": 13, ""C6"": 22, ""C7"": 6}",45,50,90.0,0.452,0.9,SAFE
2026-09-13T15:29:03Z,b52eec85,Demo venue,"C1,C2,C3,C6,C7",90,"{""C1"": 32, ""C2"": 17, ""C3"": 13, ""C6"": 22, ""C7"": 6}",45,25,180.0,0.452,1.8,CAPACITY EXCEEDED
2026-09-17T10:36:59Z,1e65cf6c,Demo venue,"C1,C2,C3,C4,C5,C6,C7",56,"{""C1"": 17, ""C2"": 15, ""C3"": 7, ""C4"": 1, ""C5"": 3, ""C6"": 12, ""C7"": 1}",26,50,52.0,0.504,0.52,SAFE
2026-09-17T10:37:20Z,3f9f3f98,Demo venue,"C1,C2,C3,C4,C5,C6,C7",81,"{""C1"": 24, ""C2"": 17, ""C3"": 10, ""C4"": 3, ""C5"": 3, ""C6"": 19, ""C7"": 5}",42,50,84.0,0.46,0.84,SAFE
2026-09-17T10:38:40Z,826ca56b,Demo venue,"C1,C2,C3,C4,C5,C6,C7",81,"{""C1"": 24, ""C2"": 17, ""C3"": 10, ""C4"": 3, ""C5"": 3, ""C6"": 19, ""C7"": 5}",42,50,84.0,0.46,0.84,SAFE
2026-09-17T10:39:03Z,1df113b0,Demo venue,"C1,C2,C3,C4,C5,C6,C7",133,"{""C1"": 28, ""C2"": 25, ""C3"": 23, ""C4"": 12, ""C5"": 10, ""C6"": 27, ""C7"": 8}",51,50,102.0,0.503,1.02,CAPACITY EXCEEDED
2026-09-17T10:39:16Z,804d25a9,Demo venue,"C1,C2,C3,C4,C5,C6,C7",133,"{""C1"": 28, ""C2"": 25, ""C3"": 23, ""C4"": 12, ""C5"": 10, ""C6"": 27, ""C7"": 8}",51,50,102.0,0.503,1.02,CAPACITY EXCEEDED
2026-09-17T10:39:28Z,0596216a,Demo venue,"C1,C2,C3,C4,C5,C6,C7",91,"{""C1"": 21, ""C2"": 14, ""C3"": 20, ""C4"": 4, ""C5"": 10, ""C6"": 13, ""C7"": 9}",31,50,62.0,0.537,0.62,SAFE
2026-09-17T10:39:41Z,3cc57e54,Demo venue,"C1,C2,C3,C4,C5,C6,C7",91,"{""C1"": 21, ""C2"": 14, ""C3"": 20, ""C4"": 4, ""C5"": 10, ""C6"": 13, ""C7"": 9}",31,10,310.0,0.537,3.1,CAPACITY EXCEEDED
2026-09-17T10:43:30Z,6b80c3e1,Demo venue,"C1,C2,C3,C4,C5,C6,C7",56,"{""C1"": 17, ""C2"": 15, ""C3"": 7, ""C4"": 1, ""C5"": 3, ""C6"": 12, ""C7"": 1}",26,50,52.0,0.504,0.52,SAFE
2026-09-17T10:43:53Z,1f085cf5,Demo venue,"C1,C2,C3,C4,C5,C6,C7",81,"{""C1"": 24, ""C2"": 17, ""C3"": 10, ""C4"": 3, ""C5"": 3, ""C6"": 19, ""C7"": 5}",42,50,84.0,0.46,0.84,SAFE
2026-09-17T10:44:07Z,cdf2c5f6,Demo venue,"C1,C2,C3,C4,C5,C6,C7",81,"{""C1"": 24, ""C2"": 17, ""C3"": 10, ""C4"": 3, ""C5"": 3, ""C6"": 19, ""C7"": 5}",42,40,105.0,0.46,1.05,CAPACITY EXCEEDED
2026-09-17T10:44:26Z,fe73af18,Demo venue,"C1,C2,C3,C4,C5,C6,C7",133,"{""C1"": 28, ""C2"": 25, ""C3"": 23, ""C4"": 12, ""C5"": 10, ""C6"": 27, ""C7"": 8}",51,40,127.5,0.503,1.275,CAPACITY EXCEEDED
2026-09-17T10:46:44Z,c449cfdb,Demo venue,"C1,C2,C3,C4,C5,C6,C7",133,"{""C1"": 28, ""C2"": 25, ""C3"": 23, ""C4"": 12, ""C5"": 10, ""C6"": 27, ""C7"": 8}",51,50,102.0,0.503,1.02,CAPACITY EXCEEDED
2026-09-17T10:47:06Z,aef0e548,Demo venue,"C1,C2,C3,C4,C5,C6,C7",56,"{""C1"": 17, ""C2"": 15, ""C3"": 7, ""C4"": 1, ""C5"": 3, ""C6"": 12, ""C7"": 1}",26,50,52.0,0.504,0.52,SAFE
2026-09-17T10:47:36Z,f9f32833,Demo venue,"C1,C2,C3,C4,C5,C6,C7",91,"{""C1"": 21, ""C2"": 14, ""C3"": 20, ""C4"": 4, ""C5"": 10, ""C6"": 13, ""C7"": 9}",31,50,62.0,0.537,0.62,SAFE
2026-09-17T10:47:47Z,2df84140,Demo venue,"C1,C2,C3,C4,C5,C6,C7",91,"{""C1"": 21, ""C2"": 14, ""C3"": 20, ""C4"": 4, ""C5"": 10, ""C6"": 13, ""C7"": 9}",31,15,206.7,0.537,2.067,CAPACITY EXCEEDED
